,Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
0,1,337,118,4,4.5,4.5,9.65,1,0.92
25,26,340,120,5,4.5,4.5,9.6,1,0.94
32,33,338,118,4,3.0,4.5,9.4,1,0.91
33,34,340,114,5,4.0,4.0,9.6,1,0.9
47,48,339,119,5,4.5,4.0,9.7,0,0.89
81,82,340,120,4,5.0,5.0,9.5,1,0.96
84,85,340,115,5,4.5,4.5,9.45,1,0.94
107,108,338,117,4,3.5,4.5,9.46,1,0.91
130,131,339,114,5,4.0,4.5,9.76,1,0.96
143,144,340,120,4,4.5,4.0,9.92,1,0.97
148,149,339,116,4,4.0,3.5,9.8,1,0.96
202,203,340,120,5,4.5,4.5,9.91,1,0.97
212,213,338,120,4,5.0,5.0,9.66,1,0.95
284,285,340,112,4,5.0,4.5,9.66,1,0.94
362,363,338,115,5,4.5,5.0,9.23,1,0.91
384,385,340,113,4,5.0,5.0,9.74,1,0.96
